transaction_id,customer_id,transaction_date,order_value,products_purchased,discount_applied
68,24,2024-04-01,105.65,2,15.0
69,24,2024-05-10,106.01,1,15.0
70,25,2024-01-23,107.74,1,0.0
71,25,2024-03-23,107.56,4,15.0
72,25,2024-05-16,103.91,1,20.0
73,25,2024-06-02,104.49,2,20.0
74,26,2024-01-24,43.26,1,0.0
75,27,2024-01-25,119.98,2,0.0
76,27,2024-02-04,104.27,2,5.0
77,27,2024-02-18,100.21,2,15.0
78,28,2024-01-25,97.53,3,0.0
79,28,2024-02-19,78.6,4,0.0
80,29,2024-01-25,93.6,3,0.0
81,30,2024-01-26,43.22,1,0.0
82,31,2024-01-26,63.95,1,0.0
83,31,2024-03-12,56.54,3,0.0
84,31,2024-04-10,67.54,4,0.0
85,31,2024-04-23,55.78,1,0.0
86,32,2024-01-26,110.93,4,0.0
87,32,2024-03-04,77.96,3,20.0
88,32,2024-04-05,94.26,4,0.0
89,33,2024-01-26,68.46,1,0.0
90,33,2024-02-10,57.61,1,5.0
91,34,2024-01-27,124.7,2,0.0
92,34,2024-02-21,89.3,4,5.0
93,34,2024-03-11,134.59,3,15.0
94,35,2024-01-27,97.13,4,0.0
95,35,2024-03-05,99.07,2,15.0
96,36,2024-01-30,78.52,4,0.0
97,37,2024-01-30,74.5,2,0.0
98,37,2024-02-12,75.77,2,0.0
99,37,2024-02-19,75.02,1,0.0
100,37,2024-04-04,74.13,4,5.0
101,38,2024-01-30,72.14,3,0.0
102,38,2024-03-25,62.88,2,10.0
103,38,2024-04-18,72.62,3,20.0
104,39,2024-01-30,63.92,4,0.0
105,39,2024-03-22,64.76,2,0.0
106,39,2024-05-05,60.82,2,0.0
107,40,2024-01-31,82.17,2,0.0
108,40,2024-02-24,90.07,4,0.0
109,41,2024-02-01,100.06,5,0.0
110,41,2024-02-11,85.27,3,10.0
111,42,2024-02-01,112.57,2,0.0
112,42,2024-03-09,81.56,1,5.0
113,42,2024-04-02,95.17,4,0.0
114,42,2024-04-12,86.98,1,0.0
115,43,2024-02-01,76.26,2,0.0
116,43,2024-02-25,81.09,4,0.0
117,43,2024-04-03,64.47,1,0.0
118,43,2024-04-10,74.22,2,20.0
119,44,2024-02-01,51.2,3,0.0
120,44,2024-03-28,47.9,3,10.0
121,44,2024-04-21,40.14,1,5.0
122,45,2024-02-02,85.98,2,0.0
123,46,2024-02-04,98.8,1,0.0
124,47,2024-02-04,114.18,2,0.0
125,47,2024-03-10,122.2,3,0.0
126,47,2024-04-16,125.13,2,0.0
127,47,2024-05-05,99.03,3,15.0
128,47,2024-06-03,120.8,1,5.0
129,48,2024-02-05,74.31,1,0.0
130,48,2024-03-16,79.7,1,10.0
131,48,2024-04-09,72.73,3,0.0
132,48,2024-05-22,53.82,2,15.0
133,49,2024-02-05,97.52,4,0.0
134,49,2024-03-31,88.13,4,10.0
135,50,2024-02-06,94.27,5,0.0
136,50,2024-02-24,66.12,2,10.0
137,50,2024-04-21,85.33,3,10.0
138,50,2024-05-12,77.16,1,0.0
139,51,2024-02-07,67.87,2,0.0
140,51,2024-02-29,55.43,2,15.0
141,52,2024-02-07,51.69,2,0.0
142,52,2024-04-04,37.25,2,0.0
143,52,2024-05-03,49.26,3,0.0
144,53,2024-02-08,47.93,5,0.0
145,54,2024-02-08,126.51,2,0.0
146,54,2024-03-25,103.48,1,0.0
147,54,2024-04-18,97.5,1,0.0
148,55,2024-02-09,96.95,3,0.0
149,56,2024-02-10,115.73,3,0.0
150,56,2024-03-25,110.17,4,20.0
151,56,2024-04-15,114.8,3,5.0
152,56,2024-05-22,85.35,4,0.0
153,57,2024-02-10,64.7,2,0.0
154,57,2024-03-19,69.7,3,0.0
155,57,2024-04-05,68.2,4,20.0
156,58,2024-02-10,102.94,5,0.0
157,58,2024-02-26,75.02,4,0.0
158,58,2024-04-06,77.71,1,20.0
159,58,2024-05-07,87.87,1,0.0
160,58,2024-05-16,77.5,1,20.0
161,59,2024-02-10,118.35,2,0.0
162,59,2024-04-07,128.59,1,20.0
163,59,2024-06-05,98.86,1,15.0
164,59,2024-07-12,118.81,2,5.0
165,60,2024-02-11,67.9,3,0.0
166,60,2024-03-04,49.05,3,15.0
167,60,2024-05-02,48.74,3,10.0
168,61,2024-02-12,55.24,5,0.0
169,62,2024-02-13,107.57,2,0.0
170,62,2024-03-05,76.33,4,5.0
171,62,2024-04-22,87.64,4,15.0
172,62,2024-06-13,110.7,4,0.0
173,62,2024-06-27,84.96,3,0.0
174,62,2024-07-25,80.39,1,0.0
175,63,2024-02-14,118.97,2,0.0
176,63,2024-03-25,99.21,4,0.0
177,63,2024-05-13,115.98,3,10.0
178,63,2024-05-26,96.18,3,5.0
179,64,2024-02-15,110.96,1,0.0
180,65,2024-02-16,110.7,2,0.0
181,65,2024-03-18,97.27,4,20.0
182,65,2024-04-21,119.98,2,0.0
183,65,2024-05-06,85.54,3,5.0
184,65,2024-06-09,98.8,3,5.0
185,65,2024-07-27,118.3,4,5.0
186,65,2024-09-06,101.13,2,10.0
187,65,2024-10-20,109.15,2,10.0
188,66,2024-02-17,93.5,2,0.0
189,66,2024-03-08,102.62,3,0.0
190,67,2024-02-17,98.65,2,0.0
191,67,2024-03-17,83.29,2,20.0
192,67,2024-04-02,102.01,4,10.0
193,67,2024-05-31,77.92,2,15.0
194,68,2024-02-17,100.36,2,0.0
195,68,2024-02-25,98.2,3,5.0
196,68,2024-03-09,96.86,4,0.0
197,69,2024-02-18,103.81,5,0.0
198,69,2024-03-19,78.53,1,0.0
199,69,2024-05-18,106.46,2,0.0
200,69,2024-06-02,103.73,3,15.0
201,69,2024-07-25,86.67,1,20.0
202,69,2024-08-10,75.16,1,15.0
203,69,2024-08-28,93.57,4,0.0
204,70,2024-02-19,98.21,5,0.0
205,70,2024-04-02,88.46,2,15.0
206,70,2024-04-19,79.43,4,0.0
207,71,2024-02-20,127.28,2,0.0
208,71,2024-03-01,100.24,1,0.0
209,71,2024-03-28,122.33,4,5.0
210,72,2024-02-20,64.55,1,0.0
211,73,2024-02-20,78.08,3,0.0
212,73,2024-03-02,65.98,3,20.0
213,73,2024-03-27,59.74,1,0.0
214,74,2024-02-20,75.5,5,0.0
215,74,2024-03-17,58.52,1,0.0
216,74,2024-03-29,82.35,1,10.0
217,75,2024-02-20,45.5,4,0.0
218,75,2024-03-18,33.55,1,0.0
219,76,2024-02-21,102.69,3,0.0
220,76,2024-03-19,102.77,3,15.0
221,76,2024-04-21,108.71,1,10.0
222,76,2024-06-16,78.05,4,10.0
223,76,2024-06-25,83.8,4,0.0
224,76,2024-08-11,75.72,2,15.0
225,77,2024-02-21,91.12,2,0.0
226,77,2024-03-31,82.6,3,15.0
227,78,2024-02-22,58.64,2,0.0
228,78,2024-03-23,55.67,1,5.0
229,78,2024-04-12,64.43,1,10.0
230,79,2024-02-22,104.26,5,0.0
231,79,2024-03-31,77.04,2,0.0
232,79,2024-05-28,105.57,4,0.0
233,80,2024-02-22,61.4,4,0.0
234,80,2024-03-18,46.95,3,0.0
235,81,2024-02-22,87.94,1,0.0
236,81,2024-04-14,88.71,4,0.0
237,82,2024-02-23,109.22,2,0.0
238,82,2024-03-24,113.98,4,5.0
239,83,2024-02-24,119.55,4,0.0
240,83,2024-04-10,129.21,1,0.0
241,83,2024-05-19,105.21,1,15.0
242,83,2024-07-06,86.41,2,20.0
243,84,2024-02-25,99.61,2,0.0
244,85,2024-02-25,85.62,4,0.0
245,85,2024-03-28,89.18,4,0.0
246,86,2024-02-26,114.36,4,0.0
247,86,2024-04-07,121.23,1,5.0
248,86,2024-05-30,85.01,4,5.0
249,86,2024-06-27,83.0,4,0.0
250,86,2024-08-20,101.84,4,0.0
251,87,2024-02-26,113.95,5,0.0
252,87,2024-04-03,86.4,3,0.0
253,87,2024-05-18,115.05,3,0.0
254,88,2024-02-26,117.0,4,0.0
255,88,2024-03-17,122.52,4,20.0
256,88,2024-05-03,90.14,1,0.0
257,88,2024-05-15,95.86,4,15.0
258,88,2024-07-03,123.7,1,0.0
259,88,2024-08-06,97.91,3,20.0
260,88,2024-09-04,125.98,4,5.0
261,89,2024-02-26,57.9,4,0.0
262,89,2024-04-17,53.74,1,20.0
263,90,2024-02-26,50.8,1,0.0
264,91,2024-02-27,53.38,3,0.0
265,92,2024-02-27,64.49,1,0.0
266,92,2024-04-03,69.23,3,5.0
267,92,2024-05-23,55.63,1,10.0
268,93,2024-02-28,111.21,2,0.0
269,93,2024-04-15,120.97,1,0.0
270,93,2024-05-04,96.54,2,10.0
271,93,2024-05-24,93.33,1,0.0
272,93,2024-06-23,78.57,1,0.0
273,93,2024-08-10,122.29,4,5.0
274,93,2024-10-09,101.98,3,10.0
275,93,2024-10-27,98.26,2,0.0
276,93,2024-11-13,101.99,3,5.0
277,94,2024-02-28,107.35,4,0.0
278,94,2024-04-19,101.78,1,20.0
279,94,2024-06-06,75.85,1,5.0
280,94,2024-07-31,101.93,1,10.0
281,94,2024-09-08,100.1,3,0.0
282,94,2024-11-03,94.67,1,5.0
283,95,2024-02-28,58.06,4,0.0
284,95,2024-04-25,61.87,4,5.0
285,96,2024-02-28,100.28,3,0.0
286,96,2024-03-23,105.48,3,0.0
287,97,2024-02-29,71.03,2,0.0
288,97,2024-04-02,50.65,2,0.0
289,98,2024-03-01,50.09,3,0.0
290,98,2024-04-13,54.96,4,0.0
291,98,2024-05-31,42.94,4,0.0
292,98,2024-07-17,42.89,2,15.0
293,99,2024-03-01,72.7,3,0.0
294,99,2024-03-14,71.54,1,0.0
295,100,2024-03-02,105.76,3,0.0
296,100,2024-03-29,82.65,1,0.0
297,100,2024-05-15,106.61,1,0.0
298,100,2024-06-25,112.98,4,0.0
299,100,2024-08-17,79.55,3,5.0
300,100,2024-10-04,112.02,2,0.0
301,100,2024-10-26,104.76,4,20.0
302,101,2024-03-03,68.6,3,0.0
303,101,2024-03-19,65.24,1,15.0
304,102,2024-03-04,109.49,4,0.0
305,102,2024-03-20,89.01,1,0.0
306,103,2024-03-04,70.66,4,0.0
307,104,2024-03-05,64.65,4,0.0
308,104,2024-05-01,45.82,4,0.0
309,105,2024-03-05,67.49,2,0.0
310,106,2024-03-05,114.85,3,0.0
311,106,2024-04-09,117.54,3,0.0
312,106,2024-04-27,110.7,1,15.0
313,106,2024-05-25,126.05,1,5.0
314,106,2024-07-18,92.09,2,0.0
315,106,2024-08-28,81.45,2,10.0
316,107,2024-03-05,82.5,3,0.0
317,107,2024-03-25,58.72,2,0.0
318,107,2024-05-15,88.76,3,0.0
319,108,2024-03-05,116.14,2,0.0
320,108,2024-04-16,111.58,4,5.0
321,108,2024-05-18,124.15,2,0.0
322,108,2024-07-09,94.36,1,5.0
323,108,2024-09-03,108.59,2,0.0
324,109,2024-03-06,92.1,4,0.0
325,109,2024-04-29,74.48,1,0.0
326,109,2024-06-11,77.47,1,15.0
327,110,2024-03-06,122.77,2,0.0
328,110,2024-04-08,100.35,3,20.0
329,110,2024-04-22,94.77,4,0.0
330,111,2024-03-06,48.55,2,0.0
331,111,2024-04-24,41.2,3,0.0
332,112,2024-03-06,118.1,1,0.0
333,112,2024-03-13,116.53,4,0.0
334,112,2024-04-09,125.13,1,10.0
335,113,2024-03-06,85.04,3,0.0
336,113,2024-03-30,83.89,1,20.0
337,114,2024-03-07,116.24,4,0.0
338,114,2024-04-10,96.14,2,0.0
339,114,2024-06-07,104.33,3,0.0
340,114,2024-06-21,102.42,3,10.0
341,114,2024-07-13,108.17,1,0.0
342,114,2024-08-25,127.3,3,5.0
343,114,2024-09-26,83.09,1,10.0
344,114,2024-10-04,84.6,4,0.0
345,115,2024-03-07,74.94,3,0.0
346,115,2024-04-05,64.46,3,10.0
347,115,2024-04-15,64.25,4,15.0
348,115,2024-06-02,81.45,3,0.0
349,116,2024-03-07,67.86,1,0.0
350,116,2024-05-05,47.78,3,0.0
351,117,2024-03-07,47.1,4,0.0
352,117,2024-03-19,36.57,3,20.0
353,118,2024-03-08,115.11,1,0.0
354,118,2024-05-04,82.56,3,0.0
355,118,2024-06-01,112.25,4,20.0
356,118,2024-06-18,123.16,4,10.0
357,118,2024-07-15,120.26,4,20.0
358,119,2024-03-08,54.18,1,0.0
359,119,2024-04-14,52.26,3,0.0
360,119,2024-04-26,43.64,1,0.0
361,120,2024-03-09,59.53,5,0.0
362,120,2024-04-26,59.18,1,0.0
363,120,2024-06-03,43.11,2,0.0
364,121,2024-03-10,77.28,4,0.0
365,121,2024-03-23,64.62,3,20.0
366,121,2024-04-28,74.35,1,20.0
367,122,2024-03-11,90.9,3,0.0
368,122,2024-04-15,95.19,2,10.0
369,123,2024-03-12,119.56,1,0.0
370,123,2024-03-29,116.51,1,20.0
371,123,2024-04-11,119.32,1,0.0
372,124,2024-03-12,81.39,3,0.0
373,124,2024-04-30,74.26,3,0.0
374,124,2024-06-11,59.71,2,5.0
375,125,2024-03-13,69.39,4,0.0
376,126,2024-03-13,103.33,4,0.0
377,126,2024-03-26,74.36,4,5.0
378,126,2024-04-14,88.98,3,10.0
379,127,2024-03-13,108.71,5,0.0
380,127,2024-04-16,80.84,2,0.0
381,127,2024-04-26,115.02,3,10.0
382,127,2024-06-06,80.49,4,0.0
383,127,2024-06-19,85.66,3,20.0
384,127,2024-07-06,110.26,3,0.0
385,128,2024-03-13,83.94,1,0.0
386,128,2024-04-21,89.24,4,10.0
387,129,2024-03-13,96.14,2,0.0
388,129,2024-03-24,73.71,4,0.0
389,129,2024-03-31,92.91,3,5.0
390,130,2024-03-14,57.53,2,0.0
391,131,2024-03-14,96.43,2,0.0
392,132,2024-03-15,42.9,5,0.0
393,133,2024-03-16,65.75,4,0.0
394,133,2024-04-07,58.45,1,0.0
395,134,2024-03-16,107.2,2,0.0
396,134,2024-04-02,107.41,1,20.0
397,134,2024-05-30,106.61,4,5.0
398,135,2024-03-16,56.83,4,0.0
399,135,2024-04-21,40.09,3,0.0
400,136,2024-03-17,107.48,5,0.0
401,136,2024-04-10,104.72,1,15.0
402,136,2024-05-13,112.05,2,15.0
403,136,2024-05-21,85.74,4,15.0
404,136,2024-07-14,79.07,1,5.0
405,136,2024-08-18,117.68,2,10.0
406,136,2024-10-07,90.23,4,0.0
407,137,2024-03-17,84.11,3,0.0
408,137,2024-03-26,78.37,3,15.0
409,137,2024-05-22,74.19,3,20.0
410,137,2024-05-29,75.66,2,15.0
411,138,2024-03-18,107.4,2,0.0
412,138,2024-04-12,101.98,2,15.0
413,138,2024-05-07,77.96,1,0.0
414,138,2024-05-27,87.34,1,10.0
415,138,2024-06-22,75.4,1,0.0
416,138,2024-07-07,90.23,2,0.0
417,139,2024-03-19,49.98,3,0.0
418,140,2024-03-19,94.73,2,0.0
419,140,2024-03-31,77.33,4,0.0
420,141,2024-03-20,96.35,4,0.0
421,141,2024-04-02,101.86,3,0.0
422,141,2024-05-06,93.61,2,0.0
423,142,2024-03-21,76.79,3,0.0
424,142,2024-05-02,59.88,1,0.0
425,142,2024-06-18,67.92,4,0.0
426,143,2024-03-22,124.55,4,0.0
427,143,2024-05-01,109.2,3,0.0
428,143,2024-06-04,110.43,4,5.0
429,143,2024-07-16,88.5,4,20.0
430,143,2024-07-31,117.83,2,0.0
431,143,2024-08-30,93.53,3,10.0
432,143,2024-10-01,93.46,1,15.0
433,143,2024-11-25,130.77,1,5.0
434,143,2024-12-19,128.53,1,15.0
435,144,2024-03-22,75.08,5,0.0
436,144,2024-04-16,69.54,3,15.0
437,144,2024-05-30,72.81,1,15.0
438,145,2024-03-22,45.71,2,0.0
439,146,2024-03-23,59.45,2,0.0
440,146,2024-05-12,56.83,3,0.0
441,147,2024-03-24,74.21,5,0.0
442,147,2024-03-31,56.49,1,0.0
443,147,2024-04-13,66.01,4,20.0
444,147,2024-04-27,60.85,2,5.0
445,148,2024-03-24,43.7,5,0.0
446,149,2024-03-24,69.89,5,0.0
447,150,2024-03-25,113.32,2,0.0
448,150,2024-04-12,85.75,2,15.0
449,150,2024-06-05,111.04,4,0.0
450,150,2024-06-30,109.58,4,10.0
451,150,2024-07-24,97.06,1,15.0
452,150,2024-09-21,98.58,3,0.0
453,151,2024-03-25,58.7,1,0.0
454,151,2024-04-20,41.89,4,15.0
455,151,2024-05-19,63.7,4,5.0
456,151,2024-06-05,49.49,2,20.0
457,152,2024-03-25,100.02,5,0.0
458,152,2024-04-05,77.0,3,0.0
459,152,2024-05-18,83.59,2,15.0
460,152,2024-07-12,96.36,1,5.0
461,153,2024-03-26,95.77,4,0.0
462,153,2024-05-17,102.57,3,20.0
463,153,2024-06-13,89.6,3,10.0
464,154,2024-03-26,63.65,1,0.0
465,154,2024-05-18,48.61,1,0.0
466,154,2024-07-07,56.68,2,20.0
467,155,2024-03-27,101.45,2,0.0
468,155,2024-04-14,100.56,4,5.0
469,155,2024-05-07,75.66,1,20.0
470,155,2024-06-06,95.63,1,20.0
471,155,2024-07-27,89.26,2,0.0
472,155,2024-09-03,88.77,2,0.0
473,156,2024-03-27,71.77,2,0.0
474,156,2024-05-06,73.45,1,0.0
475,157,2024-03-28,53.46,2,0.0
476,157,2024-04-12,56.52,4,0.0
477,158,2024-03-29,75.1,3,0.0
478,158,2024-05-21,81.34,4,15.0
479,159,2024-03-30,92.54,2,0.0
480,159,2024-04-28,77.97,2,10.0
481,160,2024-03-30,56.7,4,0.0
482,160,2024-04-30,59.51,1,10.0
483,161,2024-02-22,86.05,5,0.0
484,161,2024-03-07,77.4,3,0.0
485,161,2024-05-05,92.61,3,20.0
486,162,2024-02-22,51.88,3,0.0
487,162,2024-03-10,56.41,2,0.0
488,163,2024-02-22,51.4,5,0.0
489,163,2024-04-13,54.32,4,10.0
490,164,2024-02-23,79.81,3,0.0
491,164,2024-03-13,66.55,1,20.0
492,165,2024-02-23,71.26,2,0.0
493,166,2024-02-24,54.46,2,0.0
494,166,2024-04-22,58.77,1,10.0
495,167,2024-02-24,90.22,1,0.0
496,168,2024-02-24,97.21,5,0.0
497,168,2024-03-10,78.57,1,0.0
498,169,2024-02-24,54.78,4,0.0
499,170,2024-02-24,91.09,4,0.0
500,170,2024-04-21,94.73,1,0.0
501,170,2024-06-17,93.33,4,10.0
502,171,2024-02-24,55.85,5,0.0
503,171,2024-03-26,56.2,2,15.0
504,172,2024-02-24,44.75,4,0.0
505,173,2024-02-24,94.13,4,0.0
506,173,2024-04-10,102.89,3,0.0
507,174,2024-02-25,92.18,3,0.0
508,174,2024-03-06,73.31,1,0.0
509,174,2024-04-29,92.27,1,20.0
510,175,2024-02-26,58.72,2,0.0
511,176,2024-02-26,47.35,1,0.0
512,177,2024-02-26,79.77,4,0.0
513,177,2024-03-06,65.86,2,10.0
514,178,2024-02-27,41.03,5,0.0
515,179,2024-02-27,80.21,4,0.0
516,179,2024-04-08,62.75,3,15.0
517,180,2024-02-27,70.83,4,0.0
518,181,2024-02-27,43.48,3,0.0
519,181,2024-03-22,35.98,1,10.0
520,182,2024-02-27,56.33,3,0.0
521,183,2024-02-27,74.79,3,0.0
522,183,2024-03-13,77.53,2,10.0
523,183,2024-04-24,58.66,2,0.0
524,183,2024-05-16,73.24,4,15.0
525,184,2024-02-27,34.93,4,0.0
526,185,2024-02-27,89.48,3,0.0
527,185,2024-03-29,73.39,1,0.0
528,186,2024-02-27,49.13,5,0.0
529,187,2024-02-28,67.26,4,0.0
530,187,2024-03-08,53.12,2,5.0
531,188,2024-02-28,35.66,4,0.0
532,189,2024-02-28,97.15,5,0.0
533,190,2024-02-28,75.53,5,0.0
534,191,2024-02-29,74.98,3,0.0
535,192,2024-02-29,33.78,5,0.0
536,193,2024-02-29,77.33,1,0.0
537,194,2024-02-29,59.59,5,0.0
538,194,2024-04-12,58.86,3,20.0
539,194,2024-05-13,52.85,2,0.0
540,195,2024-02-29,57.22,3,0.0
541,195,2024-03-22,57.71,3,0.0
542,195,2024-04-15,48.33,3,15.0
543,196,2024-02-29,68.07,1,0.0
544,196,2024-04-18,56.39,2,0.0
545,197,2024-02-29,63.34,4,0.0
546,197,2024-03-07,56.16,4,0.0
547,197,2024-04-20,68.12,3,0.0
548,198,2024-02-29,42.45,4,0.0
549,199,2024-02-29,77.69,3,0.0
550,199,2024-04-07,58.34,2,15.0
551,200,2024-03-01,73.47,5,0.0
552,200,2024-04-18,52.56,4,15.0
553,201,2024-03-01,52.07,1,0.0
554,201,2024-04-22,57.11,1,0.0
555,202,2024-03-01,75.51,5,0.0
556,202,2024-03-12,68.17,1,0.0
557,203,2024-03-01,75.56,2,0.0
558,203,2024-03-31,77.95,4,15.0
559,203,2024-05-04,79.36,1,0.0
560,204,2024-03-01,50.05,5,0.0
561,204,2024-04-03,53.0,4,0.0
562,205,2024-03-01,71.87,5,0.0
563,205,2024-03-31,51.59,1,0.0
564,205,2024-04-20,73.54,3,10.0
565,206,2024-03-02,41.42,5,0.0
566,206,2024-04-24,31.48,1,20.0
567,207,2024-03-02,86.49,2,0.0
568,208,2024-03-02,39.32,5,0.0
569,209,2024-03-02,79.22,5,0.0
570,210,2024-03-03,40.15,4,0.0
571,211,2024-03-03,39.91,3,0.0
572,211,2024-04-15,32.62,3,0.0
573,212,2024-03-03,39.41,3,0.0
574,213,2024-03-03,45.41,4,0.0
575,214,2024-03-03,45.48,1,0.0
576,215,2024-03-03,49.59,4,0.0
577,216,2024-03-04,66.5,5,0.0
578,217,2024-03-04,45.61,2,0.0
579,218,2024-03-04,78.22,5,0.0
580,218,2024-04-06,75.85,2,15.0
581,219,2024-03-04,51.7,3,0.0
582,219,2024-03-16,44.64,2,10.0
583,220,2024-03-04,35.06,2,0.0
584,221,2024-03-04,64.76,1,0.0
585,221,2024-04-06,52.15,4,10.0
586,221,2024-04-15,66.93,2,0.0
587,222,2024-03-04,46.0,5,0.0
588,223,2024-03-05,93.15,4,0.0
589,223,2024-04-06,91.17,3,0.0
590,223,2024-06-04,98.68,1,10.0
591,223,2024-07-28,99.51,4,5.0
592,224,2024-03-05,53.99,4,0.0
593,224,2024-04-11,52.91,2,15.0
594,225,2024-03-06,32.68,1,0.0
595,225,2024-03-13,30.63,4,0.0
596,226,2024-03-06,76.16,2,0.0
597,226,2024-04-01,68.34,4,0.0
598,227,2024-03-07,91.45,3,0.0
599,227,2024-05-01,70.54,1,0.0
600,228,2024-03-07,86.79,4,0.0
601,229,2024-03-07,75.99,1,0.0
602,229,2024-03-24,56.8,4,0.0
603,229,2024-04-10,61.96,1,0.0
604,230,2024-03-08,42.19,3,0.0
605,230,2024-03-28,38.85,2,10.0
606,230,2024-04-06,45.73,2,10.0
607,231,2024-03-08,38.36,4,0.0
608,232,2024-03-08,65.76,3,0.0
609,232,2024-04-20,57.25,2,5.0
610,233,2024-03-08,79.53,3,0.0
611,233,2024-04-11,71.36,2,0.0
612,234,2024-03-08,39.08,1,0.0
613,235,2024-03-08,49.13,2,0.0
614,236,2024-03-08,47.53,1,0.0
615,237,2024-03-09,96.76,4,0.0
616,238,2024-03-09,51.74,1,0.0
617,238,2024-04-30,52.65,2,0.0
618,239,2024-03-09,62.68,1,0.0
619,239,2024-04-22,53.31,2,0.0
620,240,2024-03-09,38.99,4,0.0
621,240,2024-05-07,30.21,3,5.0
622,241,2024-03-10,43.86,2,0.0
623,242,2024-03-10,35.06,1,0.0
624,243,2024-03-10,51.39,1,0.0
625,243,2024-04-17,47.44,2,0.0
626,243,2024-06-07,41.38,2,5.0
627,244,2024-03-11,84.6,4,0.0
628,245,2024-03-11,52.83,3,0.0
629,245,2024-04-27,45.27,4,0.0
630,246,2024-03-11,80.51,1,0.0
631,246,2024-05-05,80.96,4,5.0
632,246,2024-06-23,70.04,4,0.0
633,247,2024-03-11,38.67,1,0.0
634,248,2024-03-11,81.78,4,0.0
635,249,2024-03-11,35.48,4,0.0
636,249,2024-04-04,32.04,4,20.0
637,250,2024-03-11,87.88,5,0.0
638,251,2024-03-11,75.62,3,0.0
639,251,2024-05-08,66.3,3,5.0
640,251,2024-06-30,59.56,1,15.0
641,252,2024-03-11,43.58,4,0.0
642,253,2024-03-12,55.74,5,0.0
643,253,2024-04-28,41.48,3,10.0
644,253,2024-06-08,39.46,1,15.0
645,254,2024-03-12,60.95,1,0.0
646,254,2024-04-10,61.36,1,10.0
647,255,2024-03-12,72.92,5,0.0
648,255,2024-03-29,75.49,2,5.0
649,255,2024-04-15,77.61,4,0.0
650,255,2024-06-07,58.3,1,0.0
651,256,2024-03-12,89.6,5,0.0
652,256,2024-04-13,91.08,2,0.0
653,257,2024-03-13,38.54,3,0.0
654,257,2024-04-29,38.89,1,0.0
655,258,2024-03-14,85.47,1,0.0
656,258,2024-04-15,64.31,3,15.0
657,259,2024-03-14,44.39,1,0.0
658,260,2024-03-14,58.55,1,0.0
659,260,2024-05-13,53.67,1,0.0
660,260,2024-06-27,61.11,3,20.0
661,261,2024-03-14,95.05,5,0.0
662,261,2024-04-19,74.24,4,0.0
663,261,2024-05-23,70.07,3,5.0
