performance_id,date,campaign_id,impressions,clicks,conversions,spend,revenue,created_at,campaign_name,channel,target_audience,ctr,cvr,cpc,roas,cac,profit,profit_margin,year,month,month_name,week,day_of_week,day_name,quarter,is_weekend,season,spend_is_outlier,revenue_is_outlier,roas_is_outlier,cac_is_outlier,ctr_is_outlier,cvr_is_outlier
32,2024-02-13,1,2778,87,1,243.09,88.0,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,3.131749460043196,1.1494252873563218,2.794137931034483,0.36200584145789627,243.09,-155.09,-176.23863636363637,2024,2,February,7,1,Tuesday,1,0,Winter,False,False,False,True,False,False
33,2024-02-14,1,2578,75,1,225.65,75.49,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,2.909231962761831,1.3333333333333335,3.0086666666666666,0.33454464879237755,225.65,-150.16000000000003,-198.91376341237253,2024,2,February,7,2,Wednesday,1,0,Winter,False,False,False,False,False,False
34,2024-02-15,1,2285,59,1,199.94,89.46,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,2.5820568927789935,1.694915254237288,3.388813559322034,0.4474342302690807,199.94,-110.48,-123.49653476414042,2024,2,February,7,3,Thursday,1,0,Winter,False,False,False,False,False,False
35,2024-02-16,1,2576,75,1,225.46,98.78,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,2.9114906832298137,1.3333333333333335,3.0061333333333335,0.43812649693959016,225.46,-126.68,-128.24458392387123,2024,2,February,7,4,Friday,1,0,Winter,False,False,False,False,False,False
36,2024-02-17,1,2618,111,3,229.14,211.23,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,4.239877769289533,2.7027027027027026,2.0643243243243243,0.9218381775333857,76.38,-17.909999999999997,-8.47890924584576,2024,2,February,7,5,Saturday,1,1,Winter,False,False,False,False,False,False
37,2024-02-18,1,1815,53,1,158.84,90.75,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,2.9201101928374653,1.8867924528301887,2.996981132075472,0.5713296398891967,158.84,-68.09,-75.03030303030303,2024,2,February,7,6,Sunday,1,1,Winter,False,False,False,False,False,False
38,2024-02-19,1,2549,73,1,223.08,72.5,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,2.8638681836014124,1.36986301369863,3.0558904109589045,0.3249955173032096,223.08,-150.58,-207.69655172413795,2024,2,February,8,0,Monday,1,0,Winter,False,False,False,False,False,False
39,2024-02-20,1,3881,171,5,339.6,437.08,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,4.406080906982736,2.923976608187134,1.985964912280702,1.2870435806831566,67.92,97.47999999999996,22.302553308318835,2024,2,February,8,1,Tuesday,1,0,Winter,False,False,False,False,False,False
40,2024-02-21,1,3026,104,2,264.83,189.35,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,3.4368803701255786,1.9230769230769231,2.5464423076923075,0.7149869727749878,132.415,-75.47999999999999,-39.86268814364932,2024,2,February,8,2,Wednesday,1,0,Winter,False,False,False,False,False,False
41,2024-02-22,1,3644,151,4,318.92,297.9,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,4.143798024149286,2.6490066225165565,2.1120529801324506,0.9340900539320205,79.73,-21.02000000000004,-7.056059080228278,2024,2,February,8,3,Thursday,1,0,Winter,False,False,False,False,False,False
42,2024-02-23,1,2332,61,1,204.13,82.66,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,2.615780445969125,1.639344262295082,3.3463934426229507,0.4049380296869642,204.13,-121.47,-146.9513670457295,2024,2,February,8,4,Friday,1,0,Winter,False,False,False,False,False,False
43,2024-02-24,1,2055,68,1,179.83,83.88,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,3.309002433090024,1.4705882352941175,2.6445588235294117,0.46644052716454426,179.83,-95.95000000000002,-114.38960419647117,2024,2,February,8,5,Saturday,1,1,Winter,False,False,False,False,False,False
44,2024-02-25,1,2450,97,2,214.38,181.79,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,3.959183673469388,2.0618556701030926,2.210103092783505,0.8479802220356376,107.19,-32.59,-17.927278728202875,2024,2,February,8,6,Sunday,1,1,Winter,False,False,False,False,False,False
45,2024-02-26,1,3970,179,5,347.46,356.73,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,4.5088161209068005,2.793296089385475,1.941117318435754,1.0266793299948196,69.49199999999999,9.270000000000039,2.5986039862080674,2024,2,February,9,0,Monday,1,0,Winter,False,False,False,False,False,False
46,2024-02-27,1,2897,95,2,253.51,159.07,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,3.2792544011045908,2.1052631578947367,2.6685263157894736,0.6274703167527909,126.755,-94.44,-59.37008864022128,2024,2,February,9,1,Tuesday,1,0,Winter,False,False,False,False,False,False
47,2024-02-28,1,3744,159,4,327.67,305.82,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,4.246794871794872,2.515723270440252,2.060817610062893,0.933317056794946,81.9175,-21.850000000000023,-7.144725655614422,2024,2,February,9,2,Wednesday,1,0,Winter,False,False,False,False,False,False
48,2024-02-29,1,2505,71,1,219.2,83.25,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,2.834331337325349,1.4084507042253522,3.0873239436619717,0.3797901459854015,219.2,-135.95,-163.3033033033033,2024,2,February,9,3,Thursday,1,0,Winter,False,False,False,False,False,False
49,2024-03-01,1,2932,97,2,256.63,154.94,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,3.3083219645293314,2.0618556701030926,2.6456701030927836,0.6037485874605463,128.315,-101.69,-65.63185749322318,2024,3,March,9,4,Friday,1,0,Spring,False,False,False,False,False,False
50,2024-03-02,1,1830,54,1,160.18,99.39,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,2.9508196721311477,1.8518518518518516,2.966296296296296,0.6204894493694594,160.18,-60.790000000000006,-61.16309487876045,2024,3,March,9,5,Saturday,1,1,Spring,False,False,False,False,False,False
51,2024-03-03,1,2080,70,1,182.04,97.29,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,3.3653846153846154,1.4285714285714286,2.6005714285714285,0.5344429795649308,182.04,-84.74999999999999,-87.11069996916433,2024,3,March,9,6,Sunday,1,1,Spring,False,False,False,False,False,False
52,2024-03-04,1,3170,114,2,277.38,139.44,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,3.5962145110410093,1.7543859649122806,2.433157894736842,0.5027038719446247,138.69,-137.94,-98.92426850258175,2024,3,March,10,0,Monday,1,0,Spring,False,False,False,False,False,False
53,2024-03-05,1,3998,181,5,349.9,482.12,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,4.527263631815908,2.7624309392265194,1.933149171270718,1.3778793941126037,69.97999999999999,132.22000000000003,27.424707541690868,2024,3,March,10,1,Tuesday,1,0,Spring,False,False,False,False,False,False
54,2024-03-06,1,3942,176,5,345.01,497.48,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,4.4647387113140535,2.840909090909091,1.9602840909090908,1.4419292194429147,69.002,152.47000000000003,30.64846828013187,2024,3,March,10,2,Wednesday,1,0,Spring,False,False,False,False,False,False
55,2024-03-07,1,3720,157,4,325.58,294.62,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,4.220430107526882,2.547770700636943,2.073757961783439,0.904908163892131,81.395,-30.95999999999998,-10.508451564727439,2024,3,March,10,3,Thursday,1,0,Spring,False,False,False,False,False,False
56,2024-03-08,1,3050,105,2,266.93,150.53,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,3.4426229508196724,1.9047619047619049,2.542190476190476,0.5639306185142172,133.465,-116.4,-77.32677871520627,2024,3,March,10,4,Friday,1,0,Spring,False,False,False,False,False,False
57,2024-03-09,1,2026,66,1,177.28,69.99,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,3.257650542941757,1.5151515151515151,2.686060606060606,0.3947991877256317,177.28,-107.29,-153.2933276182312,2024,3,March,10,5,Saturday,1,1,Spring,False,False,False,False,False,False
58,2024-03-10,1,1997,64,1,174.79,101.5,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,3.2048072108162238,1.5625,2.73109375,0.5806968362034441,174.79,-73.28999999999999,-72.20689655172413,2024,3,March,10,6,Sunday,1,1,Spring,False,False,False,False,False,False
59,2024-03-11,1,2643,79,1,231.31,94.66,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,2.989027620128642,1.2658227848101267,2.9279746835443037,0.4092343608144914,231.31,-136.65,-144.3587576589901,2024,3,March,11,0,Monday,1,0,Spring,False,False,False,False,False,False
60,2024-03-12,1,2994,101,2,261.98,164.76,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,3.373413493653975,1.9801980198019802,2.593861386138614,0.6289029696923428,130.99,-97.22000000000003,-59.00704054382133,2024,3,March,11,1,Tuesday,1,0,Spring,False,False,False,False,False,False
61,2024-03-13,1,3921,174,5,343.12,509.22,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,4.437643458301454,2.8735632183908044,1.9719540229885058,1.4840871998134764,68.624,166.10000000000002,32.618514590943015,2024,3,March,11,2,Wednesday,1,0,Spring,False,False,False,False,False,False
62,2024-03-14,1,3180,115,2,278.26,184.85,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,3.6163522012578615,1.7391304347826086,2.419652173913043,0.6643067634586358,139.13,-93.41,-50.532864484717344,2024,3,March,11,3,Thursday,1,0,Spring,False,False,False,False,False,False
63,2024-03-15,1,2439,67,1,213.48,78.09,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,2.747027470274703,1.4925373134328357,3.186268656716418,0.36579539066891514,213.48,-135.39,-173.37687283903188,2024,3,March,11,4,Friday,1,0,Spring,False,False,False,False,False,False
64,2024-03-16,1,2759,123,3,241.48,263.08,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,4.458137006161652,2.4390243902439024,1.963252032520325,1.0894484015239356,80.49333333333333,21.599999999999994,8.210430287365059,2024,3,March,11,5,Saturday,1,1,Spring,False,False,False,False,False,False
65,2024-03-17,1,2208,79,2,193.24,186.86,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,3.5778985507246377,2.5316455696202533,2.446075949367089,0.9669840612709584,96.62,-6.3799999999999955,-3.4143208819436985,2024,3,March,11,6,Sunday,1,1,Spring,False,False,False,False,False,False
66,2024-03-18,1,2259,58,1,197.71,87.86,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,2.567507746790615,1.7241379310344827,3.408793103448276,0.4443882454099438,197.71,-109.85000000000001,-125.02845435920784,2024,3,March,12,0,Monday,1,0,Spring,False,False,False,False,False,False
67,2024-03-19,1,3082,108,2,269.71,193.98,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,3.5042180402336145,1.8518518518518516,2.4973148148148145,0.7192169367097995,134.855,-75.72999999999999,-39.04010722754923,2024,3,March,12,1,Tuesday,1,0,Spring,False,False,False,False,False,False
68,2024-03-20,1,2444,67,1,213.9,100.67,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,2.7414075286415716,1.4925373134328357,3.192537313432836,0.4706404862085086,213.9,-113.23,-112.47640806595808,2024,3,March,12,2,Wednesday,1,0,Spring,False,False,False,False,False,False
69,2024-03-21,1,2301,60,1,201.41,74.32,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,2.607561929595828,1.6666666666666667,3.3568333333333333,0.36899856015093585,201.41,-127.09,-171.00376749192682,2024,3,March,12,3,Thursday,1,0,Spring,False,False,False,False,False,False
70,2024-03-22,1,3252,120,3,284.6,272.87,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,3.6900369003690034,2.5,2.371666666666667,0.9587842586085734,94.86666666666667,-11.730000000000018,-4.298750320665525,2024,3,March,12,4,Friday,1,0,Spring,False,False,False,False,False,False
71,2024-03-23,1,1811,53,1,158.53,72.08,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,2.9265599116510215,1.8867924528301887,2.991132075471698,0.45467734813599947,158.53,-86.45,-119.93618201997779,2024,3,March,12,5,Saturday,1,1,Spring,False,False,False,False,False,False
72,2024-03-24,1,2658,114,3,232.61,229.11,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,4.288939051918736,2.631578947368421,2.0404385964912284,0.9849533554017454,77.53666666666668,-3.5,-1.5276504735716467,2024,3,March,12,6,Sunday,1,1,Spring,False,False,False,False,False,False
73,2024-03-25,1,3251,120,3,284.52,267.18,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,3.691171947093202,2.5,2.371,0.9390552509489668,94.83999999999999,-17.339999999999975,-6.490006737031205,2024,3,March,13,0,Monday,1,0,Spring,False,False,False,False,False,False
74,2024-03-26,1,2927,97,2,256.2,175.69,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,3.3139733515544925,2.0618556701030926,2.641237113402062,0.6857533177205308,128.1,-80.50999999999999,-45.82503272810063,2024,3,March,13,1,Tuesday,1,0,Spring,False,False,False,False,False,False
75,2024-03-27,1,3119,110,2,272.93,199.56,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,3.5267714010900932,1.8181818181818181,2.481181818181818,0.731176492140842,136.465,-73.37,-36.76588494688314,2024,3,March,13,2,Wednesday,1,0,Spring,False,False,False,False,False,False
76,2024-03-28,1,2531,72,1,221.47,92.35,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,2.8447254049782695,1.3888888888888888,3.075972222222222,0.41698649930013093,221.47,-129.12,-139.8159177043855,2024,3,March,13,3,Thursday,1,0,Spring,False,False,False,False,False,False
77,2024-03-29,1,2594,76,1,227.03,81.46,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,2.929838087895143,1.3157894736842104,2.987236842105263,0.3588072060961106,227.03,-145.57,-178.70120304443898,2024,3,March,13,4,Friday,1,0,Spring,False,False,False,False,False,False
78,2024-03-30,1,2375,91,2,207.89,156.4,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,3.8315789473684214,2.197802197802198,2.2845054945054946,0.7523209389581029,103.945,-51.48999999999998,-32.92199488491047,2024,3,March,13,5,Saturday,1,1,Spring,False,False,False,False,False,False
79,2024-02-22,2,17645,282,3,381.15,214.65,2026-01-01T19:41:22.293473,Social Campaign 2,social,55+,1.5981864550864266,1.0638297872340425,1.351595744680851,0.5631641086186541,127.05,-166.49999999999997,-77.56813417190774,2024,2,February,8,3,Thursday,1,0,Winter,False,False,False,False,False,False
80,2024-02-23,2,14746,197,2,318.52,127.83,2026-01-01T19:41:22.293473,Social Campaign 2,social,55+,1.335955513359555,1.015228426395939,1.6168527918781725,0.40132487755870905,159.26,-190.69,-149.17468512868655,2024,2,February,8,4,Friday,1,0,Winter,False,False,False,False,False,False
81,2024-02-24,2,18035,421,8,389.56,623.19,2026-01-01T19:41:22.293473,Social Campaign 2,social,55+,2.3343498752425837,1.9002375296912115,0.9253206650831354,1.599727898141493,48.695,233.63000000000005,37.48936921324155,2024,2,February,8,5,Saturday,1,1,Winter,False,False,False,False,False,False
82,2024-02-25,2,10328,138,1,223.1,57.54,2026-01-01T19:41:22.293473,Social Campaign 2,social,55+,1.3361735089078235,0.7246376811594203,1.6166666666666667,0.25791125056028685,223.1,-165.56,-287.7302745915885,2024,2,February,8,6,Sunday,1,1,Winter,False,False,False,False,False,False
83,2024-02-26,2,17039,263,3,368.04,228.79,2026-01-01T19:41:22.293473,Social Campaign 2,social,55+,1.5435178120781736,1.1406844106463878,1.3993916349809887,0.6216443864797304,122.68,-139.25000000000003,-60.86367411163077,2024,2,February,9,0,Monday,1,0,Winter,False,False,False,False,False,False
84,2024-02-27,2,24365,538,9,526.29,673.75,2026-01-01T19:41:22.293473,Social Campaign 2,social,55+,2.2080853683562487,1.6728624535315983,0.9782342007434943,1.280187729198731,58.47666666666666,147.46000000000004,21.886456400742123,2024,2,February,9,1,Tuesday,1,0,Winter,False,False,False,False,False,False
85,2024-02-28,2,18280,303,4,394.86,224.41,2026-01-01T19:41:22.293473,Social Campaign 2,social,55+,1.6575492341356672,1.3201320132013201,1.3031683168316832,0.5683280149926556,98.715,-170.45000000000002,-75.95472572523508,2024,2,February,9,2,Wednesday,1,0,Winter,False,False,False,False,False,False
86,2024-02-29,2,23804,514,9,514.18,632.63,2026-01-01T19:41:22.293473,Social Campaign 2,social,55+,2.159300957822215,1.7509727626459144,1.000350194552529,1.2303667976195107,57.1311111111111,118.45000000000005,18.72342443450359,2024,2,February,9,3,Thursday,1,0,Winter,False,False,False,False,False,False
87,2024-03-01,2,21162,406,6,457.1,466.01,2026-01-01T19:41:22.293473,Social Campaign 2,social,55+,1.9185332199225025,1.477832512315271,1.1258620689655172,1.019492452417414,76.18333333333334,8.909999999999968,1.9119761378511124,2024,3,March,9,4,Friday,1,0,Spring,False,False,False,False,False,False
88,2024-03-02,2,15165,298,4,327.58,208.81,2026-01-01T19:41:22.293473,Social Campaign 2,social,55+,1.9650511045169798,1.342281879194631,1.0992617449664428,0.6374320776604189,81.895,-118.76999999999998,-56.879459795986776,2024,3,March,9,5,Saturday,1,1,Spring,False,False,False,False,False,False
89,2024-03-03,2,16524,354,6,356.93,358.7,2026-01-01T19:41:22.293473,Social Campaign 2,social,55+,2.142338416848221,1.694915254237288,1.0082768361581922,1.0049589555375003,59.48833333333334,1.7699999999999818,0.4934485642598221,2024,3,March,9,6,Sunday,1,1,Spring,False,False,False,False,False,False
90,2024-03-04,2,21777,430,7,470.39,534.89,2026-01-01T19:41:22.293473,Social Campaign 2,social,55+,1.9745603159296508,1.627906976744186,1.0939302325581395,1.1371202619103298,67.19857142857143,64.5,12.058554095234534,2024,3,March,10,0,Monday,1,0,Spring,False,False,False,False,False,False
